Timestamp,Your Name,Marker Name,Marker Description,Location,Relevant Trips,Category
3/15/2014 5:15:57,Ari Novick,,(this point is for testing/demonstration purposes) The Fish Hatch,"35.284459060092985, -82.79187353936766","August, March, STEP",Landmark
3/16/2014 0:26:35,Ari,,"There's a false path to the east here. Every time I've ever been at this point, the crew stops to debate which way to go. Scouting a minute down the false path reveals it's not a real path, so it's no big deal. But, the false path is usually muddy, so just keep that mind if it's really cold or a crewling has super-unwaterproofed boots.","35.31615640593214, -82.89233836022947","August, March, STEP",Pro-Tip!
3/16/2014 0:28:26,Ari,,"If facilitating solos at Flat Laurel, I think this is without a doubt the best place to set up base camp. You'll know it when you see it. It's huge. Like you can fit a whole Bearmuda triangle in the site. And it's flat. And has a river. And bear hang trees. And good solo sites nearby. There's another good site 2 minutes southeast on the trail, but this one is better. ","35.324070048584936, -82.89611491052244",August,Solos
3/16/2014 0:37:37,Ari,,"In August 2012 and August 2013, there were issues with bees at a point along this trail. I can't say exactly where, but I would guess it was about half way between D Boone and Deep Gap. It was about 6 minutes past (coming from D Boone) a high impact site, and it was right by some steps made from logs.","35.38962542229052, -82.88431319085691","August, March",Safety
3/16/2014 0:46:53,Unknown,,"(this point is for testing/demonstration purposes)

Yeaaaahhhhh Boiiiiiii....HAWGS GONE WILD!!!!!!","35.2738306659109, -82.70563515512083",Unknown,VAM (View Appreciation Moment)
3/16/2014 0:47:23,Unknown,,(this point is for testing/demonstration purposes)Mmmmm. Darn tootin good ice cream.,"35.274404380813614, -82.7060428508911","August, March, STEP",Pro-Tip!
3/16/2014 3:50:16,Ari,,"If you anticipate your crew being here, make sure to bring a sharpie on the trail.","35.342065449185604, -82.75209101525877","August, March",Pro-Tip!
3/16/2014 4:30:52,Ky~e,,"There is a natural rockbed waterslide that is just across the street from the Cove gate and no one from the institutional memories of 2013 knew it existed (discovered August 2012, Aisha knows where it is!). From the road, go a few steps down the trail leading to fish hatch and there should be a small side trail leading down to a campsite. Keep following the path through the right side of the campsite going away from the road and you should end up at a river spot with a narrow waterfall rockslide leading into a swimming hole. 

Mothers and their children were sliding down safely so our crew joined in on the fun, but it could be black zone to some. ","35.28232210729435, -82.8168073543701",August,Waterfall
3/16/2014 10:29:59,Ross,,Pipe for water located on the jeep track at the Black Balsam parking lot,"35.327431361535645, -82.8790346035156","August, March, STEP",Water
3/16/2014 10:43:26,Vern,,"There isn't much to be desired for camping spots around this area. So if crewlings are like yay gap we'll stop there for the night, try to non-directly push them away from that thought. Horse cove gap is about the same as welll ","35.35368680751918, -82.71750124780272",August,Campsite
3/16/2014 11:23:12,Scott,,Several high impact campsites. Small stream for water. Near the top of an awesome waterfall/cliff.,"35.32119881643907, -82.77535113183592","August, March",Campsite
3/16/2014 14:10:30,Emily Stout,,"Due to some unforeseen circumstances, my March 2014 crew was dropped off here. If for some reason you ever hike this trail, pack Chacos or Crocs - we did 8 legit, take-out-your-soles-and-unbuckle-your-pack river crossings in the span of a mile. In other news, though, there's a gorgeous campsite along this ridge. :)","35.383362686813044, -82.68660219995115","August, March",Water
3/16/2014 14:20:38,Eleanor,,Pipe for water part way up the trail to Cold Mountain,"35.407291412352, -82.86083849755857","August, March, STEP",Water
3/16/2014 14:22:01,Eleanor,,Pipe for water slightly south of Shining Rock on Art Loeb. Not a lot of other water sources around.,"35.363346663960854, -82.86444338647459","August, March, STEP",Water
3/16/2014 14:23:01,Eleanor,,Camping at Ivestor Gap is quite exposed and windy. Maybe not the best place on March if it is expected to be cold.,"35.345075961493315, -82.86744746057127",March,Campsite
3/16/2014 14:24:21,Eleanor,,Camping at Ivestor Gap is quite exposed and windy. Not ideal for cold nights on March.,"35.3454260137835, -82.86753329125975",March,Campsite
3/16/2014 14:25:55,Eleanor,,Camping at Ivestor Gap is quite windy and exposed. Not ideal for cold nights on March.,"35.34514597207275, -82.86753329125975",March,Campsite
3/16/2014 14:30:28,Eleanor,,If starting at D-Boone make sure to get an early drop off and motivate your crew to get moving! First place to camp is Deep Gap and it's a long uphill battle to there.,"35.38770116984264, -82.89568575708006","August, March, STEP",Pro-Tip!
3/16/2014 15:40:05,Ky~e,,"Incredible view and great photo spot that is often missed. Coming up from the wall-of-death, turn left towards Devil's Courthouse, take ~16 steps, and carefully walk down a little side trail on the left towards the edge. ","35.307891775498234, -82.88409861413572","August, March, STEP",VAM (View Appreciation Moment)
3/16/2014 15:51:44,Mr. Ziegler,,The Rock Quarry!,"36.0426604878758, -78.9996162304077",Unknown,Water
3/16/2014 15:52:18,Mr. Ziegler,,Daytime rock quarry parking,"36.03977162229459, -78.99046453324888",Unknown,Pro-Tip!
3/16/2014 15:52:54,Mr. Ziegler,,Midnight rock quarry parking,"36.03910296373009, -78.9878735193405",Unknown,Pro-Tip!
3/16/2014 16:51:14,Krkr,,"There's a waterfall here which is one of my favorite places in Pisgah.

Note: it may actually be at the next valley, ""BM AKW 227"" on the USGS map. I can't actually remember - but if you're taking this trail you're gonna hit both, because there's no other way to go.

It's - sublime. Because it's one of those places that's always empty. This trail is rarely taken and somehow seems more 'primordial' than the others. You'll be laying in a little pool of water on the top of the falls and staring up into the towering greenth and you'll feel like you did on your first trip - like there's no civilization for twenty miles in every direction.

Also, we found a crayfish in the top of the falls here, which really makes me wonder. How could it have survived there? These streams filter down from the edge of the BRP. It and its brethren must have been in these hills for thousands or millions of years.

Note that this trail is especially tedious to reach from the road, so don't try anything silly.","35.29594859341563, -82.8616538890991","August, March, STEP",Waterfall
3/16/2014 16:42:25,Krkr,,"There's an excellent swimming hole around here which was dubbed 'Andy's Bridge of Death' years before I visited it - legend has it that someone named Andy broke their leg there by jumping off of the bridge.

Jumping off of the rocks is safe and lovely (try it in March!). But jumping off the bridge - no. Don't do that.

I was never clear on whether it was here or a bit up the trail, or if the 'Yellowstone Falls' marker is actually referring to it.","35.32259943022357, -82.83405932275389","August, March",Waterfall
3/16/2014 17:55:42,Ari,,"Great VAM. It's right on the trail, but isn't obvious. You need to climb over and onto the other side of the rock. You know you're at the spot I'm talking about because it's two steps before/after the open field on this trail. ","35.307684930033595, -82.88588898865316","August, March, STEP",VAM (View Appreciation Moment)
3/16/2014 17:59:51,Bobby and Noelle,,"Dank-ass (aka good) campsite a couple switchbacks up from Glocester down to your left as you head up to Pilot. Hidden behind a big rock, has an epic view.","35.26879844275471, -82.84950884667967","August, March",Campsite
3/16/2014 17:58:03,Bobby,,"Water here ranges from a small brook to nothing, depending on rain fall. If any, it will cross under the Art Loeb near the A-frame turn off closest to Pilot.","35.27958952811105, -82.86718996850584","August, March",Water
3/16/2014 18:01:41,Noelle,,Graveyard site for solos...creepy,"35.27636636747966, -82.82976778833006",August,Solos
3/16/2014 19:07:03,Bobby and Noelle,,This area is suuuper confusing (which lead to much chaos for the 2011 mongols),"35.404073342121414, -82.73835810510252","August, March",Pro-Tip!
3/16/2014 18:59:45,Bobby,,"Sub-par campsite here, but It is the only one between Wagon Ridge and Graveyard fields.","35.339264871908846, -82.81345995751951",August,Campsite
3/16/2014 19:07:33,Bobby and Noelle,,Exxxxtremely steep trail. The real wall of death...,"35.39924599588862, -82.74737032739256","August, March",Pro-Tip!
3/16/2014 19:04:35,Bobby,,"There is a campsite hidden above/behind a big rock next to the parking lot. It is really only big enough for 4 man tents, so def don't try to tarp there. Also...it is technically illegal since it is in the area bordering the BRP, so don't let rangers see you...","35.30487987821241, -82.89980563012693",March,Campsite
3/16/2014 19:09:34,Bobby and Noelle,,Turn off for the Fun Run,"35.305090014219765, -82.81723650781248",August,Landmark
3/16/2014 19:10:23,Noelle,,Great base camp for solos,"35.274684667533, -82.8289094814453",August,Solos
3/16/2014 19:12:48,Noelle,,Epic hidden waterfall! Up the road a bit from where 105 hits the dirt road. Awesome to stop at if hiking into Cove. ,"35.288557647797326, -82.82659205285643","August, March",Waterfall
3/16/2014 21:20:11,Unknown,,"If you've never seen it, it's not super obvious that there's a body of water and rocks to jump off here. You have cross the stream, and then it's obvious.","35.289398358090644, -82.76324900476072","August, March, STEP",Recreation
3/16/2014 21:34:23,Lizzie,,"Camped in a field at D-Boone in March 2014, thought we'd get in trouble with the ranger but instead he told us we could use the bathrooms in the heated dining hall. He did request that we check in with him in the future if we're planning to camp there for the night. Right now he lives in the camp master round house past the dining hall but is moving into a big house across the river next year, so go knock on his door for future march trips!","35.3899402955931, -82.89585741845701",March,Campsite
3/17/2014 0:10:18,Tyler,,Good campsite on the trail going around Sassafras Knob (the trail is only labelled on the USGS). The trail going over the top of Sassafras Knob is only labelled on the Nat Geo.,"35.28550999979711, -82.86538752404783","August, March, STEP",Campsite
3/17/2014 0:34:55,Isa Ferrall,,9 river crossings on a 1 mile stretch. Can be avoided with dirt road hiking ,"35.37468502077211, -82.68007906762693","August, March",Water
3/17/2014 3:26:55,Ali,,Lots of river crossings on Trail 133. Consider taking southern trail (322) if cold weather in March. ,"35.33884477694513, -82.67098101464842","August, March, STEP",Water
3/17/2014 9:14:37,Bobby,,The Ziegler Farm.,"35.23919441132825, -82.8355935463104",August,Landmark
3/17/2014 9:18:12,Bobby,,Djibouti,"35.250125243884305, -82.821651423851",August,Landmark
3/17/2014 9:18:33,Bobby,,Djibouti crew campsite,"35.250232573411154, -82.82294424859617",August,Campsite
3/17/2014 9:19:20,Bobby,,Bi Lo,"35.277406463902416, -82.7039185413513","August, March, STEP",Landmark
3/17/2014 9:20:01,Bobby,,Transylvania Hospital Emergency Room,"35.2561420492725, -82.71154674378965","August, March, STEP",Landmark
3/17/2014 9:21:52,Bobby,,Fox Mountain Guides (Where CD's get trained),"35.28035369616028, -82.69506725160215",August,Landmark
3/17/2014 9:24:22,Bobby,,Ingles (aka Black Mountain),"35.60896159389196, -82.32123168794249","August, March",Landmark
3/17/2014 9:26:04,Bobby,,Moose Cafe mmmmmmm,"35.5537456417065, -82.59935530511473",August,Landmark
3/17/2014 9:28:29,Bobby,,High impact campsite,"35.29047769470329, -82.87058028070066","August, March",Campsite
3/17/2014 9:29:48,Bobby,,Wall of Death...Hoka Hey,"35.307499972529655, -82.88242491571043","August, March",Landmark
3/17/2014 9:30:47,Bobby,,Geological Survey Benchmark,"35.32766988689608, -82.87401350823973","August, March, STEP",Landmark
3/17/2014 9:31:31,Bobby,,Geological Survey Benchmark,"35.40994316306858, -82.85676153985594","August, March",Landmark
3/17/2014 9:35:52,Bobby,,"Food hang torn down by ""Berney"" the black bear. August 2013. Pack found next day coated in a metric ton of bear slobber, torn to shreds. Berney went for the pancake mix/oatmeal, bypassed the summer sausage (note: sausage had not yet been massaged).","35.32448365517911, -82.84500273553465","August, March, STEP",Funny Story
3/17/2014 9:37:43,Bobby,,"Enchanted forest--great tent/tarp sites. Step crewling may or may not have tossed his cookies (or in this case, his pesto pasta) here in 2012...","35.31916131775731, -82.87650259820555","August, March, STEP",Campsite
3/17/2014 9:38:22,Bobby,,Enchanted Forest--good place for the mongols to stay.,"35.32553407511487, -82.88122328607176","August, March, STEP",Campsite
3/17/2014 9:40:47,Bobby,,"Sam Knob Parking lot/toilet. Favored location for crazy jesus man. Typically a fair amount of drunk rednecks in August.  Site of the conclusion of the epic showdown ""Bay wrastles the honey pot,"" August 2011. Watch for spiders in the toilets.","35.325884212060636, -82.882167423645","August, March, STEP",Landmark
3/17/2014 11:04:22,Vern,,"Old butt knob and dog loser knob, as the name entails, are not fun to hike and have really no good views. Better to go on the 363.","35.37174559972335, -82.84264239160154","August, March",Pro-Tip!
3/17/2014 11:44:10,Unknown,,"Across the road from the Looking Glass trailhead, there's a really good water hole with a rock to jump from!","35.28939835809069, -82.7768960842285",August,Water
3/17/2014 11:46:10,Unknown,,Lolz no campsites anywhere over here,"35.31160395973415, -82.76402148095701","August, March, STEP",Campsite
3/17/2014 11:56:50,Unknown,,"There is a high impact campsite somewhere in this region to the left of the trail, next to the river.  It can be a good place to camp, but it is BLACK ZONE if it is raining or if you think it might rain.","35.35732688910849, -82.84255656091307","August, March, STEP",Safety
3/17/2014 11:58:11,Unknown,,"Watch out in this area, the trail intersections are different on the USGS and the Nat Geo","35.364396578722705, -82.86410006372068","August, March, STEP",Maps
3/17/2014 11:59:53,Unknown,,"If crewlings only have the Nat Geo, they may struggle finding the trailhead when coming from the Devil's Courthouse drop off.  Consider giving them the USGS","35.308382073746074, -82.88358363000481","August, March, STEP",Maps
3/17/2014 12:07:40,Unknown,,Bathrooms closed in March :(,"35.35347679780608, -82.77861269799797",March,Pro-Tip!
3/17/2014 12:09:42,Unknown,,"If you have crew members with bad joints or foot blisters, avoid going down this route because there is some aggressive downhill after old butt knob.  Take the 363 instead","35.36607641394051, -82.86367091027824","August, March, STEP",Pro-Tip!
3/17/2014 12:10:35,Unknown,,"To find the VAM you have to keep an eye out and climb some rocks, you will not find it if you stay on the main trail.","35.36271670854974, -82.86367091027824","August, March, STEP",VAM (View Appreciation Moment)
3/17/2014 15:53:08,Ari,,"Beware the USGS is horribly confusing/unclear in this area. On some PWILD USGS there are no trails marked, and on some there's a maze of trails marked.","35.38829594368285, -82.8850856670532","August, March",Maps
3/17/2014 17:23:18,Ari,,"Sunny Point Cafe. So good.

Parking directions from their website: We have a small parking lot adjacent to the restaurant, including two reserved accessible spaces. There is also an overflow lot next to our garden.
Free street parking is available in marked places along Haywood Road in both directions and down Dorchester Street and State Street. Please take note of signed no parking zones, especially near intersections.","35.5786315624768, -82.58872034637068","August, March, STEP",Landmark
3/17/2014 17:27:03,Unknown,,Gear Locker,"36.00531593184921, -78.92797576872442","August, March, STEP",Landmark
3/17/2014 22:04:59,Unknown,,"There is a great solo site behind a high impact site on the river near the waterfall. Be careful if you have solos during the weekend though, there might be randos. 
Also, if you give someone the cave as a solo site, watch out for strangers ","35.275665663412006, -82.79998453942869",August,Solos
3/17/2014 22:29:20,Emily Stout,,"I always forget how steep this climb is until I'm on it and gasping for breath. Beware. Coming from Farlow Gap especially, getting over this mountain will take a while.","35.28309281808452, -82.86684664575193","August, March",trail
3/17/2014 22:32:26,Emily Stout,,"AMAZING high impact campsite here. Flat, right next to a river, and lots of bearhang trees. Also a super cool suspension bridge.","35.34276557833759, -82.72659930078123","August, March, STEP",Campsite
3/17/2014 22:34:29,Unknown,,Bring two liters of water if you ever hike up Looking Glass...,"35.29086958009541, -82.77672442285154","August, March",Funny Story
